EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	ST5[arb.u.]	ST6[arb.u.]	AVG[arb.u.]	Norm[arb.u.]
65.246	435.2744591	-3.85234681	-4.57069658	-3.937621	-3.73432732	-3.91920178	-3.795724738	-4.07883504	-3.98410761	-0.100660383
65.262	435.3811996	-3.21858903	-4.44653737	-3.730916364	-3.37685793	-4.14637221	-4.11703789	-5.07756638	-4.016268168	-0.101472935
65.278	435.4879401	-4.4431264	-4.86062883	-4.62186109	-4.70986406	-3.90828668	-4.52021427	-4.24938343	-4.473337823	-0.113021018
65.294	435.5946806	-4.48132923	-4.6832585	-4.65119542	-4.28485751	-4.52703619	-5.1273665	-5.36408764	-4.731304427	-0.119538668
65.31	435.7014211	-5.13077746	-4.77603684	-4.91179335	-4.54340884	-4.5386335	-4.74670251	-5.88119035	-4.932648979	-0.124625734
65.326	435.8081617	-5.36545204	-4.39264407	-4.6627927	-5.17034469	-5.25971205	-4.89064535	-5.02640184	-4.966856106	-0.125489993
65.342	435.9149022	-4.92339062	-4.53249374	-4.50998136	-4.10953377	-4.26848484	-4.99433876	-5.61854583	-4.708109846	-0.118952645
65.358	436.0216427	-5.30814778	-5.45959474	-5.78090787	-5.63628285	-4.49974846	-4.69144484	-6.38328477	-5.394201616	-0.136287082
65.374	436.1283832	-6.41057254	-5.48620029	-5.43571797	-6.35736141	-6.02035781	-5.03322381	-5.69154053	-5.776424909	-0.145944136
65.39	436.2351237	-5.55578403	-5.71064194	-5.91052467	-5.14510353	-5.7788613	-5.74611601	-6.38260257	-5.747090579	-0.14520299
65.406	436.3418642	-5.07210881	-5.37704934	-5.78500105	-5.01207578	-6.07220452	-5.64174043	-5.87777938	-5.548279901	-0.140179943
65.422	436.4486047	-5.82388609	-6.55656191	-4.90974678	-5.47255643	-5.29109295	-5.18671733	-4.69963115	-5.42002752	-0.136939586
65.438	436.5553452	-5.87573278	-5.91461782	-5.51621681	-6.04559897	-4.54068008	-4.68939826	-5.33134235	-5.416226724	-0.136843557
65.454	436.6620857	-6.51563031	-5.95759601	-5.80546685	-5.2958683	-5.49370442	-5.81365317	-5.31155875	-5.741925401	-0.145072489
65.47	436.7688263	-5.2849532	-6.03877703	-5.19626805	-5.84503407	-4.92953039	-6.05651407	-6.8533161	-5.743484701	-0.145111886
65.486	436.8755668	-5.83070803	-6.01148929	-5.79318736	-5.52440314	-5.82593266	-4.72691887	-6.13428413	-5.69241764	-0.143821652
65.502	436.9823073	-5.82115731	-6.17794452	-4.77876561	-5.39819733	-5.92826168	-5.73588312	-5.91802879	-5.679748337	-0.143501556
65.518	437.0890478	-5.33134237	-5.33338893	-6.03741265	-6.05105653	-5.13350623	-6.26594749	-5.52440313	-5.668151047	-0.143208545
65.534	437.1957883	-5.76385303	-6.79805842	-5.77886131	-5.41047682	-6.03604825	-5.44185771	-5.68062543	-5.844254424	-0.147657881
65.55	437.3025288	-6.60295107	-5.67312131	-5.61104171	-6.35736142	-6.73461444	-5.84435189	-6.39965741	-6.174728464	-0.156007466
65.566	437.4092693	-5.9487275	-5.2945039	-6.0531031	-5.74270505	-5.90029176	-5.69085834	-6.03059071	-5.808682909	-0.14675915
65.582	437.5160098	-5.91598219	-5.80819563	-6.08925936	-6.66639509	-6.57429896	-6.28573109	-6.70050475	-6.29148101	-0.158957275
65.598	437.6227503	-7.11937153	-7.09549481	-6.67389919	-5.79523396	-7.44955325	-6.46446579	-6.17453354	-6.681793153	-0.168818697
65.614	437.7294908	-6.23661316	-6.52722761	-5.95418503	-6.44945752	-6.98839037	-6.7271103	-6.5176769	-6.485808699	-0.163867056
65.63	437.8362314	-6.50880837	-6.10222103	-6.45696166	-6.87309972	-6.64456489	-7.31379671	-6.01558245	-6.55929069	-0.165723614
65.646	437.9429719	-6.78782553	-6.70050476	-6.71278425	-5.98147279	-6.17453354	-7.91958458	-6.57702772	-6.693390453	-0.169111709
65.662	438.0497124	-6.21682956	-7.83499257	-6.5149481	-7.9100339	-6.51699469	-6.89015455	-6.80965571	-6.956229869	-0.175752472
65.678	438.1564529	-6.84444758	-7.20737454	-6.90175185	-6.821253	-6.82739277	-7.58872072	-7.14120178	-7.047448891	-0.178057164
