EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	ST5[arb.u.]	ST6[arb.u.]	ST7[arb.u.]	ST8[arb.u.]	ST9[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
66.05	440.638169756759	-5.31701628	-5.32247385	-5.72565021	-5.06938004	-5.35658352	-5.23310649	-5.62263898	-5.31019437	-5.62877872	-6.13769511	-5.472351757	-0.385653090940613	
66.066	440.744910267222	-5.98761252	-5.31087654	-6.10563201	-5.37227395	-6.03809484	-5.39956172	-5.99784543	-5.21059411	-6.57020577	-6.09949225	-5.809218914	-0.409393132901046	
66.082	440.851650777686	-5.59535124	-5.48006055	-6.61591276	-5.90643151	-6.37578064	-6.79601185	-6.82329957	-5.95691383	-5.5687457	-5.96646451	-6.108497216	-0.430484175170052	
66.098	440.958391288149	-5.68130764	-6.22910903	-6.24207071	-6.37850942	-5.67721447	-6.88947236	-5.95145628	-6.12882659	-6.99930551	-6.41739444	-6.259466645	-0.441123444997127	
66.114	441.065131798613	-7.13983738	-6.32666268	-6.28504889	-6.86764217	-6.29391742	-6.105632	-6.79532966	-7.57985221	-6.70118696	-6.96314927	-6.705825864	-0.472579721954651	
66.13	441.171872309076	-7.22033621	-6.34849291	-6.47947404	-7.48502731	-6.56611263	-6.84922295	-4.99706753	-6.2734516	-5.50393732	-7.21760744	-6.494072994	-0.457656860183826	
66.146	441.278612819539	-6.40511496	-6.86013804	-6.25639676	-7.00612744	-6.16225406	-6.85877365	-6.99657673	-6.23047342	-5.5892115	-6.25707898	-6.462214554	-0.455411700076413	
66.162	441.385353330003	-6.58521405	-6.2441173	-6.87309972	-5.97192207	-6.54291805	-7.3062926	-6.19499936	-6.3484929	-6.07561549	-6.64865807	-6.479132961	-0.456603991113807	
66.178	441.492093840466	-6.06265382	-6.57839211	-5.63832942	-7.30765702	-5.90302053	-6.4105725	-5.75975987	-6.82057081	-6.58794282	-6.71619521	-6.378509411	-0.449512746836742	
66.194	441.59883435093	-6.07220452	-6.86082024	-6.13496634	-6.51494812	-6.79737622	-6.11177174	-5.89142322	-5.53804701	-7.09344822	-5.79796273	-6.281296836	-0.442661884229255	
66.21	441.705574861393	-5.72633241	-7.22101842	-6.58384966	-6.89288333	-6.62273468	-6.0619716211	-6.21546517	-6.70186913	-5.77067499	-5.95213845	-6.37489378611	-0.44925794287376	
